product_id,name,current_price,original_price,available_colors,labels,availability,url,image_url
110000104383,Lovely Blossom Floral Bikini Set,$39.99,,N/A,Underwire,In Stock,https://www.cupshe.com/products/lovely-blossom-floral-bikini-set-120000205673,https://media.cupshe.com/cdn-review.cupshe.com/cmc-admin/product/20250818/026b9c6dc98c796d837864f0e1cd8098.jpg?speedsize=mxw_540
110000104384,Ruby Wave Checkered Bikini Set,$39.99,,N/A,Underwire,In Stock,https://www.cupshe.com/products/ruby-wave-checkered-bikini-set-120000205674,https://media.cupshe.com/cdn-review.cupshe.com/cmc-admin/product/20250818/37bf8751f995c670190b0c8a9b98726e.jpg?speedsize=mxw_540
CAA12E5H011,Ruby Wave Checkered One-Piece Swimsuit,$43.99,,N/A,N/A,In Stock,https://www.cupshe.com/products/ruby-wave-checkered-one-piece-swimsuit-CAA12E5H011JG,https://media.cupshe.com/cdn-review.cupshe.com/cmc-admin/product/20250819/eab6db543e407855b60ba2f67dee9748.jpg?speedsize=mxw_540
110000104385,C’est la Vie Black Bikini Set,$31.99,,N/A,Underwire,In Stock,https://www.cupshe.com/products/c-est-la-vie-black-bikini-set-120000205675,"https://cdn-review.cupshe.com/cmc-admin/2025_08_15/17_29_140/d3318b8f-d6ca-41ba-a4fe-4576898d7875/120000205675/1.gif?x-oss-process=image/quality,q_70/format,webp"
CAA12E5H009,Hit Replay Black One-Piece Swimsuit,$31.99,,N/A,N/A,In Stock,https://www.cupshe.com/products/hit-replay-black-one-piece-swimsuit-CAA12E5H009AA,https://media.cupshe.com/cdn-review.cupshe.com/cmc-admin/product/20250814/2968f8a0e4c30d48ae37dfebd10268d0.jpg?speedsize=mxw_540
CAA12G5H001,In Plain Sight Black One-Piece Swimsuit,$36.99,,N/A,N/A,In Stock,https://www.cupshe.com/products/in-plain-sight-black-one-piece-swimsuit-CAA12G5H001AA,"https://cdn-review.cupshe.com/cmc-admin/2025_08_19/16_16_290/a481d53e-79d0-4bd5-b7ab-fdaf93504af4/CAA12G5H001AA/1.gif?x-oss-process=image/quality,q_70/format,webp"
110000104361,Glitter Crush Pink Bikini Set,$29.99,,N/A,Mix & Match Sizing,In Stock,https://www.cupshe.com/products/glitter-crush-pink-bikini-set-120000205641,https://media.cupshe.com/cdn-review.cupshe.com/cmc-admin/product/20250818/8b431c1b7e0cfc59199aaf0540818436.jpg?speedsize=mxw_540
110000104362,Papaya Spritz Coral Bikini Set,$35.99,,N/A,Mix & Match Sizing,In Stock,https://www.cupshe.com/products/papaya-spritz-coral-bikini-set-120000205642,https://media.cupshe.com/cdn-review.cupshe.com/cmc-admin/product/20250814/218effef333d54abda198be4ac4c5f8b.jpg?speedsize=mxw_540
110000104364,Match My Mood Mauve Bikini Set,$26.99,,N/A,Mix & Match Sizing,In Stock,https://www.cupshe.com/products/match-my-mood-mauve-bikini-set-120000205644,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
110000104363,Cornflower Waves Blue Bikini Set,$35.99,,N/A,Mix & Match Sizing,In Stock,https://www.cupshe.com/products/cornflower-waves-blue-bikini-set-120000205643,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
110000104382,Call Me Geo Bikini Set,$35.99,,N/A,Mix & Match Sizing,In Stock,https://www.cupshe.com/products/call-me-geo-bikini-set-120000205672,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12E5H003,Simply Serene Polka Dot Monokini Swimsuit,$35.99,,N/A,N/A,In Stock,https://www.cupshe.com/products/simply-serene-polka-dot-monokini-swimsuit-CAA12E5H003QQ,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12L5H001,Feeling Fresh Green 2-Piece Swimsuit,$35.99,,N/A,N/A,In Stock,https://www.cupshe.com/products/feeling-fresh-green-2-piece-swimsuit-CAA12L5H001PP,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12E5H010,Kiss of Lime Green One-Piece Swimsuit,$35.99,,N/A,N/A,In Stock,https://www.cupshe.com/products/kiss-of-lime-green-one-piece-swimsuit-CAA12E5H010RR,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
110000104346,Too Sweet Pink Bikini Set,$35.99,,N/A,Underwire,In Stock,https://www.cupshe.com/products/too-sweet-pink-bikini-set-120000205616,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12C5H041,Sunkissed Crush Floral Bikini Set,$29.99,,N/A,N/A,In Stock,https://www.cupshe.com/products/sunkissed-crush-floral-bikini-set-CAA12C5H041PD,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12E5H007,Simply Iconic Blue One-Piece Swimsuit,$39.99,,N/A,N/A,In Stock,https://www.cupshe.com/products/simply-iconic-blue-one-piece-swimsuit-CAA12E5H007UU,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12C5H050,High Standards Striped Bikini Set,$35.99,,N/A,N/A,In Stock,https://www.cupshe.com/products/high-standards-striped-bikini-set-CAA12C5H050UE,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12C5H044,Dusk Till Dawn Chevron Bikini Set,$35.99,,N/A,N/A,In Stock,https://www.cupshe.com/products/dusk-till-dawn-chevron-bikini-set-CAA12C5H044JB,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
110000104365,Cocoa Fleur Reversible Bikini Set,$35.99,,N/A,Mix & Match Sizing,In Stock,https://www.cupshe.com/products/cocoa-fleur-reversible-bikini-set-120000205645,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
110000104386,Cabana Heartbreaker Red Bikini Set,$35.99,,N/A,Underwire,In Stock,https://www.cupshe.com/products/cabana-heartbreaker-red-bikini-set-120000205676,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
110000104387,Rouge Revival Red Bikini Set,$29.99,,N/A,Mix & Match Sizing,In Stock,https://www.cupshe.com/products/rouge-revival-red-bikini-set-120000205677,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12E5H016,Amber Blaze Tummy Control One-Piece Swimsuit,$35.99,,N/A,Tummy Control,In Stock,https://www.cupshe.com/products/amber-blaze-tummy-control-one-piece-swimsuit-CAA12E5H016EE,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12E5G052,Paradise Scene Tropical One-Piece Swimsuit,$39.99,,N/A,N/A,In Stock,https://www.cupshe.com/products/paradise-scene-tropical-one-piece-swimsuit-CAA12E5G052SC,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
110000104357,Sun in Sight Tropical Bikini Set,$35.99,,N/A,Mix & Match Sizing,In Stock,https://www.cupshe.com/products/sun-in-sight-tropical-bikini-set-120000205627,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
110000104353,Malibu Coast Tropical Tankini Set,$43.99,,N/A,Mix & Match Sizing,In Stock,https://www.cupshe.com/products/malibu-coast-tropical-tankini-set-120000205623,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
110000104326,Flower Spell Floral Bikini Set,$35.99,,N/A,Underwire,In Stock,https://www.cupshe.com/products/flower-spell-floral-bikini-set-120000205586,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12E5H022,Sky’s Out Blue One-Piece Swimsuit,$39.99,,N/A,N/A,In Stock,https://www.cupshe.com/products/sky-s-out-blue-one-piece-swimsuit-CAA12E5H022UC,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12C5H029,Shoreline Shine Blue Bikini Set,$35.99,,"120000205619, 120000205611",Underwire,In Stock,https://www.cupshe.com/products/shoreline-shine-blue-bikini-set-120000205619,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12E5H006,Sleek Moves Long Torso One-Piece Swimsuit,$35.99,,N/A,Long Torso,In Stock,https://www.cupshe.com/products/sleek-moves-black-one-piece-swimsuit-CAA12E5H006AA,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12C5E111,In Deep Colorblock Bikini Set,$26.99,,"CAA12C5E111SR, CAA12C5E111CE",N/A,In Stock,https://www.cupshe.com/products/in-deep-colorblock-bikini-set-CAA12C5E111SR,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12E5D105,Brownie Points Brown One-Piece Swimsuit,$31.99,,"CAA12E5D105TT, CAA12E5D105AA",N/A,In Stock,https://www.cupshe.com/products/brownie-points-brown-one-piece-swimsuit-CAA12E5D105TT,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12E5H005,Off the Hook Tummy Control One-Piece Swimsuit,$39.99,,N/A,Long Torso,In Stock,https://www.cupshe.com/products/off-the-hook-tummy-control-one-piece-swimsuit-CAA12E5H005DD,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
DASF1229,Longline V Neck Bralette & Navy Classic High Waist Bikini Set,$33.99,,"120000200490, 120000205613",HOT,In Stock,https://www.cupshe.com/products/longline-v-neck-bralette-navy-classic-high-waist-bikini-set,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
CAA12E4E092,Mesh Backless One-Piece Swimsuit,$41.99,,N/A,Tummy Control,In Stock,https://www.cupshe.com/products/mesh-backless-one-piece-swimsuit-CAA12E4E092AA,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
AC11484,Black & Eucalyptus Wrapped Bikini Top & High-Waisted Bottoms Set,$40.99,,"DAA12C4E006AR, 120000203934, ASF9054BB, DAA12C2M001TT",N/A,In Stock,https://www.cupshe.com/products/black-eucalyptus-wrapped-bikini-top-high-rise-bottoms-set-DAA12C4E006AR,"https://www.cupshe.comdata:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
